"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-21 20:00:00",460,410,0,630,40,0,0,0,0
"2025-08-21 20:15:00",190,180,0,0,50,0,0,0,0
"2025-08-21 20:30:00",380,350,0,0,90,0,150,0,0
"2025-08-21 20:45:00",390,360,0,10,90,0,280,0,0
"2025-08-21 21:00:00",380,350,0,0,20,0,70,0,0
"2025-08-21 21:15:00",390,350,10,0,10,0,0,0,0
"2025-08-21 21:30:00",380,350,0,0,10,0,150,0,0
"2025-08-21 21:45:00",380,350,0,0,20,0,160,0,0
"2025-08-21 22:00:00",380,350,0,0,10,0,400,0,0
"2025-08-21 22:15:00",390,350,0,0,20,0,0,0,0
"2025-08-21 22:30:00",0,0,0,0,0,0,0,0,0
"2025-08-21 22:45:00",0,0,0,0,10,0,0,0,0
"2025-08-21 23:00:00",0,0,0,0,20,0,0,0,0
"2025-08-21 23:15:00",380,350,0,0,0,0,0,0,0
"2025-08-21 23:30:00",330,310,0,0,20,0,0,0,0
"2025-08-21 23:45:00",250,220,0,0,10,0,0,0,0
"2025-08-22 00:00:00",0,0,0,0,0,0,0,0,0
"2025-08-22 00:15:00",0,0,0,0,0,0,0,0,0
"2025-08-22 00:30:00",0,0,0,10,0,0,0,0,0
"2025-08-22 00:45:00",370,340,0,660,10,0,0,0,0
"2025-08-22 01:00:00",0,0,0,670,10,0,150,0,0
"2025-08-22 01:15:00",390,350,0,10,20,0,150,0,0
"2025-08-22 01:30:00",390,360,0,0,10,0,0,0,0
"2025-08-22 01:45:00",370,340,0,0,10,0,0,0,0
"2025-08-22 02:00:00",0,0,0,0,0,0,0,0,0
"2025-08-22 02:15:00",330,300,0,0,10,0,0,0,0
"2025-08-22 02:30:00",0,0,0,0,0,0,0,0,0
"2025-08-22 02:45:00",0,0,0,0,0,0,0,0,0
"2025-08-22 03:00:00",380,360,0,0,0,0,0,0,0
"2025-08-22 03:15:00",390,350,0,0,10,0,0,0,0
"2025-08-22 03:30:00",60,60,0,0,0,0,0,0,0
"2025-08-22 03:45:00",310,280,0,0,0,0,0,0,0
"2025-08-22 04:00:00",0,0,0,0,0,0,0,0,0
"2025-08-22 04:15:00",0,0,0,0,0,0,0,0,0
"2025-08-22 04:30:00",330,300,0,0,10,0,0,0,0
"2025-08-22 04:45:00",0,0,0,0,0,0,0,0,0
"2025-08-22 05:00:00",0,0,10,0,0,0,0,0,0
"2025-08-22 05:15:00",0,0,10,0,0,0,0,0,0
"2025-08-22 05:30:00",50,50,0,310,0,0,0,0,0
"2025-08-22 05:45:00",330,290,0,620,10,0,0,0,0
"2025-08-22 06:00:00",0,0,0,0,0,0,0,0,0
"2025-08-22 06:15:00",0,0,10,0,0,0,0,0,0
"2025-08-22 06:30:00",0,0,20,0,0,0,0,0,0
"2025-08-22 06:45:00",390,360,350,0,20,0,0,0,0
"2025-08-22 07:00:00",0,0,190,0,70,0,0,0,0
"2025-08-22 07:15:00",0,0,130,0,0,0,0,0,0
"2025-08-22 07:30:00",0,0,60,10,30,0,0,0,0
"2025-08-22 07:45:00",190,170,150,0,20,0,0,0,0
"2025-08-22 08:00:00",0,0,150,0,0,0,0,0,0
"2025-08-22 08:15:00",10,10,120,150,10,0,200,0,0
"2025-08-22 08:30:00",370,340,60,120,30,0,0,0,0
"2025-08-22 08:45:00",0,0,260,30,0,0,0,0,0
"2025-08-22 09:00:00",0,0,180,10,0,0,0,0,0
"2025-08-22 09:15:00",340,310,160,10,20,0,0,0,0
"2025-08-22 09:30:00",0,0,210,10,0,0,0,0,0
"2025-08-22 09:45:00",0,0,290,10,40,0,0,0,0
"2025-08-22 10:00:00",0,0,360,10,20,0,0,10,0
"2025-08-22 10:15:00",350,330,540,10,30,0,0,0,0
"2025-08-22 10:30:00",0,0,310,460,20,0,0,0,0
"2025-08-22 10:45:00",0,0,350,710,20,0,0,0,0
"2025-08-22 11:00:00",0,0,300,730,10,0,0,0,0
"2025-08-22 11:15:00",190,170,90,60,10,0,0,0,0
"2025-08-22 11:30:00",50,50,390,40,0,0,0,0,0
"2025-08-22 11:45:00",330,300,380,10,10,0,0,0,0
"2025-08-22 12:00:00",0,0,250,40,30,0,0,0,0
"2025-08-22 12:15:00",560,510,150,-320980,40,-55160,-486670,-11800,-407550
"2025-08-22 12:30:00",200,190,130,0,30,0,0,0,0
"2025-08-22 12:45:00",380,340,150,321000,70,0,486980,11810,0
"2025-08-22 13:00:00",380,350,170,10,20,0,190,0,0
"2025-08-22 13:15:00",390,350,270,10,30,0,0,0,0
"2025-08-22 13:30:00",0,0,440,20,0,0,0,0,0
"2025-08-22 13:45:00",0,0,390,0,10,0,0,0,0
"2025-08-22 14:00:00",190,180,420,20,10,0,0,0,0
"2025-08-22 14:15:00",170,160,280,20,30,0,0,0,0
"2025-08-22 14:30:00",0,0,290,10,150,0,0,0,0
"2025-08-22 14:45:00",190,170,100,0,60,0,470,0,0
"2025-08-22 15:00:00",0,0,10,10,0,0,0,0,0
"2025-08-22 15:15:00",0,0,50,20,10,0,0,0,0
"2025-08-22 15:30:00",200,180,50,10,10,0,0,0,0
"2025-08-22 15:45:00",180,170,60,10,0,0,0,0,0
"2025-08-22 16:00:00",0,0,10,420,20,0,0,0,0
"2025-08-22 16:15:00",0,0,30,680,0,0,0,0,0
"2025-08-22 16:30:00",0,0,0,440,0,0,0,0,0
"2025-08-22 16:45:00",390,350,50,0,40,0,0,0,0
"2025-08-22 17:00:00",0,0,10,80,10,0,0,0,0
"2025-08-22 17:15:00",0,0,10,60,30,0,0,0,0
"2025-08-22 17:30:00",0,0,10,90,0,0,0,0,0
"2025-08-22 17:45:00",360,330,0,0,10,0,0,0,0
"2025-08-22 18:00:00",0,0,10,0,0,0,0,0,0
"2025-08-22 18:15:00",0,0,0,10,20,0,0,0,0
"2025-08-22 18:30:00",190,170,10,0,10,0,0,0,0
"2025-08-22 18:45:00",0,0,0,10,0,0,0,0,0
"2025-08-22 19:00:00",0,0,20,0,70,0,0,0,0
"2025-08-22 19:15:00",380,340,0,0,20,0,0,0,0
"2025-08-22 19:30:00",0,0,0,10,0,0,0,0,0
"2025-08-22 19:45:00",0,0,0,0,0,0,0,0,0
"2025-08-22 20:00:00",0,0,0,0,0,0,0,0,0
"2025-08-22 20:15:00",380,350,0,0,10,0,0,0,0
"2025-08-22 20:30:00",0,0,0,0,0,0,0,0,0
"2025-08-22 20:45:00",0,0,0,0,0,0,0,0,0
"2025-08-22 21:00:00",0,0,0,0,0,0,10,0,0
"2025-08-22 21:15:00",380,350,0,0,20,0,310,0,0
"2025-08-22 21:30:00",390,360,0,0,10,0,200,0,0
"2025-08-22 21:45:00",390,350,0,0,0,0,0,0,0
"2025-08-22 22:00:00",370,340,10,0,10,0,0,0,0
"2025-08-22 22:15:00",0,0,0,0,0,0,0,0,0
"2025-08-22 22:30:00",0,0,0,0,10,0,0,0,0
"2025-08-22 22:45:00",390,350,0,370,10,0,0,0,0
"2025-08-22 23:00:00",370,340,0,690,0,0,0,0,0
"2025-08-22 23:15:00",0,0,0,230,0,0,0,0,0
"2025-08-22 23:30:00",160,150,0,0,10,0,0,0,0
"2025-08-22 23:45:00",170,160,0,0,0,0,0,0,0
"2025-08-23 00:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 00:15:00",190,170,0,0,10,0,0,0,0
